age_group,u,u^{n2},u^{c},u^{i}
00-04,8946,7195,6810,20
05-09,6390,4688,4362,7
10-14,5631,3794,3507,25
15-19,8305,6094,5705,139
20-24,10382,7819,7334,237
25-29,9725,7305,6835,301
30-34,9100,6787,6386,525
35-39,8844,6696,6259,687
40-44,9184,7043,6615,1023
45-49,10085,8039,7610,1426
50-54,10650,8617,8200,1868
55-59,9236,7686,7386,1956
60-64,8179,7049,6801,2006
65-69,6315,5572,5444,1794
70-74,4412,3916,3843,1311
75-79,3398,3042,2968,1057
80-84,2129,1909,1874,638
85-89,1174,1029,1007,349
90-94,439,373,362,117
95-99,107,93,92,27
>99,91,65,61,14
