age_group,u,u^{n2},u^{c},u^{i}
00-04,4409,3531,3337,12
05-09,3071,2272,2123,4
10-14,2699,1868,1731,11
15-19,4787,3704,3458,106
20-24,6178,4799,4496,161
25-29,5659,4415,4127,202
30-34,5408,4146,3886,357
35-39,5416,4208,3942,497
40-44,5680,4484,4221,744
45-49,6140,4996,4718,1009
50-54,6508,5398,5152,1343
55-59,5598,4733,4557,1350
60-64,4922,4318,4179,1380
65-69,3790,3375,3296,1149
70-74,2683,2422,2382,884
75-79,2095,1880,1841,713
80-84,1411,1260,1237,452
85-89,813,717,703,251
90-94,304,266,259,82
95-99,81,68,67,20
>99,38,29,26,7
