age_group,u,u^{n2},u^{c},u^{i}
00-04,4537,3664,3473,8
05-09,3319,2416,2239,3
10-14,2932,1926,1776,14
15-19,3518,2390,2247,33
20-24,4204,3020,2838,76
25-29,4066,2890,2708,99
30-34,3692,2641,2500,168
35-39,3428,2488,2317,190
40-44,3504,2559,2394,279
45-49,3945,3043,2892,417
50-54,4142,3219,3048,525
55-59,3638,2953,2829,606
60-64,3257,2731,2622,626
65-69,2525,2197,2148,645
70-74,1729,1494,1461,427
75-79,1303,1162,1127,344
80-84,718,649,637,186
85-89,361,312,304,98
90-94,135,107,103,35
95-99,26,25,25,7
>99,53,36,35,7
