clf,fold,precision,recall,f1,support,mcc,roc_auc,pr_auc
Biased Dummy,1,0.12400717396874199,0.12467800103039671,0.12434168272318562,,0.007965944379937173,0.5039922992625959,0.1755465897900368
Biased Dummy,2,0.11119651550089675,0.11179804224626481,0.11149646756583173,,-0.006586479343175763,0.49669904842781853,0.16345472439963488
Biased Dummy,3,0.11427107353317961,0.11488923235445647,0.11457931920359667,,-0.003093897649628657,0.4984494286281651,0.1663567720933313
Biased Dummy,4,0.10940302331539842,0.11002318989951043,0.10971223021582734,,-0.008598622181301745,0.4956901395603088,0.161764102719453
Linear SVM,1,0.8220735785953177,0.6331787738279238,0.7153667054714784,,0.6903508715819604,0.96756160905559,0.8266862545102889
Linear SVM,2,0.8222439660795825,0.64940752189593,0.7256764536557282,,0.7001202056446514,0.9700473764791335,0.8358857753968197
Linear SVM,3,0.8116361298617808,0.6504379185986605,0.7221507221507221,,0.6951512388992298,0.9696255588180623,0.8312858963779046
Linear SVM,4,0.8182711198428291,0.6439062097397578,0.7206921413121846,,0.6947795503310104,0.968949058576197,0.8309625971266152
Logistic Regression,1,0.8090676883780332,0.6527563111798043,0.7225548902195609,,0.6951573061574386,0.9674561480462616,0.824667427973688
Logistic Regression,2,0.8102532041262894,0.6676970633693973,0.7320999858777009,,0.704542755358902,0.969883157993745,0.8331162944162395
Logistic Regression,3,0.7988238935314145,0.6648634724368881,0.7257134823562492,,0.6967564310361798,0.969690198196185,0.8297378829606585
Logistic Regression,4,0.8099590293098015,0.6622004637979902,0.7286645874681031,,0.7011788979863562,0.9690857713544261,0.830377118988047
Uniform Dummy,1,0.11936450839328537,0.5128799587841318,0.19365820445481954,,0.007413063675616375,0.5,0.558497332810946
Uniform Dummy,2,0.11948441247002398,0.5133951571354972,0.19385273806049996,,0.007788133518459456,0.5,0.558497332810946
Uniform Dummy,3,0.11522781774580336,0.4951056156620299,0.18694679505884643,,-0.005526845902469917,0.5,0.558497332810946
Uniform Dummy,4,0.11835951552943998,0.5086317959288843,0.19203268641470886,,0.004341693164374185,0.5,0.5584857892040146
