clf,fold,precision,recall,f1,support,mcc,roc_auc,pr_auc
Biased Dummy,2,0.11119651550089675,0.11179804224626481,0.11149646756583173,,-0.006586479343175763,0.49669904842781853,0.16345472439963488
Biased Dummy,4,0.10940302331539842,0.11002318989951043,0.10971223021582734,,-0.008598622181301745,0.4956901395603088,0.161764102719453
Biased Dummy,1,0.12400717396874199,0.12467800103039671,0.12434168272318562,,0.007965944379937173,0.5039922992625959,0.1755465897900368
Biased Dummy,3,0.11427107353317961,0.11488923235445647,0.11457931920359667,,-0.003093897649628657,0.4984494286281651,0.1663567720933313
Linear SVM,4,0.8185391418277105,0.6439062097397578,0.7207960773002595,,0.6949197447731237,0.969018448336263,0.8310206612836183
Linear SVM,3,0.8126810428065658,0.6504379185986605,0.7225640291887252,,0.6957029328766375,0.9697275381633895,0.8315247522260734
Linear SVM,2,0.8241255312193527,0.64940752189593,0.726408298516064,,0.7011047939964918,0.9702062230031465,0.8364643456471028
Linear SVM,1,0.8196117804551539,0.63086038124678,0.7129548762736536,,0.6876876002690192,0.9675512871527179,0.8269390416764018
Logistic Regression,2,0.8095684803001876,0.6669242658423493,0.7313559322033897,,0.7037251314873946,0.9700063965904733,0.8336644085931207
Logistic Regression,1,0.808476736775016,0.6535291087068521,0.7227920227920228,,0.6952981134234106,0.9674816626647753,0.824939924395063
Logistic Regression,4,0.8092084515925575,0.6611698015975264,0.7277368122518434,,0.7001753355577593,0.9691414150821749,0.830439024435934
Logistic Regression,3,0.7991347342398022,0.6661514683153014,0.7266085979207643,,0.6976714712496801,0.9697450344042036,0.8299391530150587
Rough Dummy,4,0.20557449608230158,0.8855964957485184,0.3336893203883496,,0.2778502171482687,0.7161274853648728,0.5522764751492628
Rough Dummy,3,0.20433307541217785,0.8843379701184956,0.33196344824251806,,0.27520175782467354,0.7140383321359398,0.5511014430209047
Rough Dummy,2,0.20484673984763963,0.8797011849562082,0.3323115846835012,,0.27465949365401504,0.7136312675864696,0.549311122222303
Rough Dummy,1,0.20289683712681053,0.884080370942813,0.3300476030196663,,0.27254302105274997,0.7119470082298623,0.5502695931550914
Uniform Dummy,4,0.11835951552943998,0.5086317959288843,0.19203268641470886,,0.004341693164374185,0.5,0.5584857892040146
Uniform Dummy,3,0.11522781774580336,0.4951056156620299,0.18694679505884643,,-0.005526845902469917,0.5,0.558497332810946
Uniform Dummy,2,0.11948441247002398,0.5133951571354972,0.19385273806049996,,0.007788133518459456,0.5,0.558497332810946
Uniform Dummy,1,0.11936450839328537,0.5128799587841318,0.19365820445481954,,0.007413063675616375,0.5,0.558497332810946
