dbi,p_node,hormone,len_i,degree,color,degree-strength,label,node_bet_cent,module-louvain,module-infomap,class,rank_degree
DB00252,0.2,False,42794,24,#976fb0,6.51,Phenytoin,0.3,2,1,CNS agents,1
DB00564,0.18,False,87950,18,#976fb0,4.84,Carbamazepine,0.2,0,2,CNS agents,2
DB01174,0.05,False,13638,15,#976fb0,2.17,Phenobarbital,0.28,2,1,CNS agents,3
DB00571,0.1,False,109099,14,#ee262c,4.81,Propranolol,0.06,4,0,Cardiovascular agents,4
DB00682,0.13,False,57959,14,#f498b7,3.31,Warfarin,0.17,1,3,Coagulation modifiers,4
DB01223,0.01,False,4666,10,#4da9df,1.93,Aminophylline,0.23,4,0,Respiratory agents,6
DB00472,0.06,False,270974,10,#c059a2,3.41,Fluoxetine,0.02,0,2,Psychotherapeutic agents,6
DB00196,0.11,False,85709,10,#66c059,1.74,Fluconazole,0.09,0,2,Anti-infectives,6
DB01356,0.17,False,56954,9,#c059a2,2.05,Lithium,0.13,0,4,Psychotherapeutic agents,9
DB00977,0.04,True,33416,9,#f2ea25,1.78,Ethinyl Estradiol,0.03,2,1,Hormones,9
DB00390,0.24,False,81457,9,#ee262c,3.7,Digoxin,0.03,1,3,Cardiovascular agents,9
DB01288,0.01,False,2297,8,#4da9df,0.81,Fenoterol,0.13,0,2,Respiratory agents,12
DB00335,0.06,False,411888,8,#ee262c,2.22,Atenolol,0.05,4,0,Cardiovascular agents,12
DB00254,0.04,False,376,8,#66c059,1.39,Doxycycline,0.02,2,1,Anti-infectives,12
DB01001,0.03,False,23192,7,#4da9df,1.53,Salbutamol,0.0,0,0,Respiratory agents,15
DB00945,0.07,False,531427,7,#976fb0,1.57,ASA,0.01,4,0,CNS agents,15
DB00968,0.06,False,5383,7,#ee262c,2.3,Methyldopa,0.01,3,0,Cardiovascular agents,15
DB01050,0.05,False,158645,7,#976fb0,1.28,Ibuprofen,0.06,4,0,CNS agents,15
DB00635,0.03,False,48240,7,#f2ea25,0.96,Prednisone,0.02,2,1,Hormones,15
DB00373,0.06,False,5720,7,#ee262c,1.11,Timolol,0.16,4,0,Cardiovascular agents,15
DB00502,0.2,False,162446,6,#c059a2,2.32,Haloperidol,0.03,0,4,Psychotherapeutic agents,21
DB00860,0.0,False,387,6,#f2ea25,0.54,Prednisolone,0.03,2,1,Hormones,21
DB00343,0.13,False,102688,6,#ee262c,2.66,Diltiazem,0.03,1,5,Cardiovascular agents,21
DB01136,0.07,False,27661,6,#ee262c,1.7,Carvedilol,0.0,4,0,Cardiovascular agents,21
DB01592,0.04,False,26091,5,#b4e2ee,1.12,Iron (II) Sulfate,0.02,3,0,Nutritional Products,25
DB00540,0.09,False,23651,5,#c059a2,1.3,Nortriptyline,0.0,0,2,Psychotherapeutic agents,25
DB00695,0.04,False,122303,5,#ee262c,1.31,Furosemide,0.05,1,3,Cardiovascular agents,25
