,1c,2c,3c,4c,5c,6c,7c,8c,9c,label,class,color,pi
DB01288,-0.9661533926,-0.27920335436,-0.831798965239,1.05682170058,0.0981542909725,-0.999781075004,-0.313071968612,-0.165252532763,0.478755347166,Fenoterol,Respiratory agents,#4da9df,0.01
DB01118,-1.21935505582,0.133576782176,-0.203701721543,-0.664466691675,-0.537502047177,0.436902817747,1.3399553851,-0.883089773349,0.116952893451,Amiodarone,Cardiovascular agents,#ee262c,0.02
DB00158,-1.09993201556,-0.499841840446,-0.313344903568,-0.682772845879,-0.439851835613,0.573671878689,0.828090073287,0.951393506352,0.204966928153,Folic acid,Nutritional Products,#b4e2ee,0.0
DB01060,-0.0227082533496,-0.871521267946,-0.104581694789,-0.339707712838,-0.488845441463,0.584608138436,0.137264276431,0.22102906924,-0.0199304455476,Amoxicillin,Anti-infectives,#66c059,0.0
DB00678,-1.0632633225,-0.699952717882,-0.563114873628,-0.246614643814,-0.160982476973,0.291890303391,0.266044994445,-0.430125128841,-0.510625339578,Losartan,Cardiovascular agents,#ee262c,0.0
DB00207,-0.964839933893,-0.651483076194,-0.508874410269,-0.39075488245,-0.0415425448876,0.467017949617,0.377817188299,-0.311112265167,-0.169524088299,Azithromycin,Anti-infectives,#66c059,0.0
DB00977,0.987499014351,0.041009135699,0.532596898907,-1.33542935619,-2.17955365702,1.58444779252,1.87237168969,6.9677529773,2.65281826376,Ethinyl Estradiol,Hormones,#f2ea25,0.04
DB01068,0.235786923791,-0.695725000061,-0.633596048955,-0.446076437108,-0.367888467244,0.415140252451,0.295007570314,-0.946262477118,-1.62450066312,Clonazepam,CNS agents,#976fb0,0.09
DB00321,-0.151401398306,1.38794982138,0.892701600285,-0.0330915402333,-0.692834295833,-0.0887509755894,-1.54696451933,-1.23493709334,-4.29412916325,Amitriptyline,Psychotherapeutic agents,#c059a2,0.08
DB00286,0.393135977155,-0.714980737147,0.279948506485,-1.45467510782,-0.920264104733,1.04582071719,0.705497079764,1.68960059469,1.83052278779,Estrogens Conj.,Hormones,#f2ea25,0.01
DB00810,-0.902642030117,0.400278499928,-0.412192391607,0.585563257267,0.532735814099,1.23570806269,-0.220728959908,-0.0919995008022,-0.256066273669,Biperiden,CNS agents,#976fb0,0.13
DB01233,-0.704688580347,-0.665430709539,-0.542861179125,-0.562604062058,0.0735829864825,0.394137462445,0.095021913924,-0.312160525161,-0.424290757443,Metoclopramide,Gastrointestinal agents,#6c8b37,0.0
DB01592,0.518273706259,-1.53921981155,2.66546540073,-0.00769577611156,-1.06339367129,-0.305903641941,-0.994365086073,1.8758769634,-1.03568216985,Iron (II) Sulfate,Nutritional Products,#b4e2ee,0.04
DB00916,-1.03994154488,-0.63653445901,-0.446891460819,-0.389082922179,-0.134710433573,0.378719732753,0.28529298996,-0.201651854775,-0.35610322724,Metronidazole,Anti-infectives,#66c059,0.0
DB00477,-1.02945758376,-0.765577601207,-0.633633611637,-0.331187583755,0.189289447925,-0.0203212646266,-0.489558366189,-0.228546750183,-0.010065518388,Chlorpromazine,CNS agents,#976fb0,0.0
DB00934,-1.0216849436,-0.734729747695,-0.577290445905,-0.367752221555,0.13571767659,0.127540233877,-0.250378866325,-0.265908408581,-0.0623772556499,Maprotiline,Psychotherapeutic agents,#c059a2,0.01
DB00381,-1.02990044836,-0.118727422856,-0.261995871065,-0.495228681325,-0.077832090747,0.282690654404,0.43374413133,-0.460332727791,-0.272892074138,Amlodipine,Cardiovascular agents,#ee262c,0.0
DB00682,4.40728486486,-6.7737984618,16.0501049161,4.0444633453,-6.08978418949,1.37966644488,-3.17380308402,-0.899675598634,1.51715203629,Warfarin,Coagulation modifiers,#f498b7,0.13
DB00564,4.83171621174,8.51803378654,-2.74744046893,13.4703876671,-4.11586991006,-1.76494154263,2.00514837356,-0.571141127627,1.86401670505,Carbamazepine,CNS agents,#976fb0,0.18
DB00684,-0.866152935432,-0.740672832855,-0.369894225996,-0.422712196456,0.291228006908,0.321258411451,0.50773235409,-0.327242572838,-0.262912402177,Tobramycin,Topical Agents,#ffe5cc,0.0
DB01235,-1.26830249193,-0.119427559514,-0.0287823677815,-0.775007466981,-0.59822498246,0.243328800456,0.899565128048,0.878149519399,-0.434457944311,Levodopa,CNS agents,#976fb0,0.01
DB00783,-0.529816008941,-0.586368547164,-0.110990374723,-0.985395635104,-0.655282574276,0.769102767643,0.843203425843,1.32943035609,0.851070519099,Estradiol,Hormones,#f2ea25,0.01
DB00458,-0.254366787357,0.881024335233,0.630961335841,0.0943006839482,-0.649196665216,0.0802856759349,-1.22124055215,-1.07589782363,-3.56804952065,Imipramine,Psychotherapeutic agents,#c059a2,0.07
DB01356,0.46192280125,4.47201126492,1.18922802903,6.08232515327,8.85570083389,12.5091301305,-3.80350999983,0.567478110154,0.113914854855,Lithium,Psychotherapeutic agents,#c059a2,0.17
DB00440,-1.02800047101,-0.713131171883,-0.443336272758,-0.431950646087,-0.133193555302,0.515906388812,0.480490764028,-0.1757448852,-0.0885020977349,Trimethoprim,Anti-infectives,#66c059,0.0
DB00999,-1.18125010784,-0.696282124266,-0.641150529355,-0.400461867915,-0.254961121397,0.433103539555,0.660964967872,-1.13017613933,-0.314520244895,Hydrochlorothiazide,Cardiovascular agents,#ee262c,0.0
DB00373,-0.973514855346,2.47636895423,1.0827664535,-1.9732541665,0.227659742127,-0.252668053591,-0.124941585971,-0.864067243405,0.047391617279,Timolol,Cardiovascular agents,#ee262c,0.06
DB00603,-1.03864313933,-0.414561913993,-0.438844482832,-0.588045104581,-0.917909465179,0.653027294078,1.44021742407,1.81213910846,0.49095086202,Medroxyproges. Ac.,Hormones,#f2ea25,0.0
DB00252,24.576743665,-0.903090560964,-3.2592383626,-3.530467928,0.7525760162,-0.553646356256,-0.114698657126,-0.353390962631,-2.06388316725,Phenytoin,CNS agents,#976fb0,0.2
DB01016,-1.48438058495,-1.98172842217,-1.540385328,0.629345785148,3.27621782173,-4.49806322932,-5.85644513497,0.723501746044,3.19390117298,Glyburide,Metabolic agents,#f47a2b,0.12
DB01136,-0.903367948186,3.20789389625,1.50226898279,-2.54801933442,0.293963020325,0.00287537721505,0.195832347938,-2.73607841128,0.517749517325,Carvedilol,Cardiovascular agents,#ee262c,0.07
DB00359,-1.08092178298,-0.821087550276,-0.433788071585,-0.388418865823,-0.451903900533,0.621529188389,0.875896221733,0.209463666012,0.117543238303,Sulfadiazine,Anti-infectives,#66c059,0.01
